name,x,y
Republican In Name Only,2.222,0
Republicanism,-6.875,8.125
Republicanism in the United States,6.875,1.875
Right-Libertarianism,6.51736,-3.55903
Right of Conquest,6.667,8.889
Right-Wing Nationalism,6.66667,3.33333
Right-Wing Populism,7.1131,4.40476
Russian Nihilist Movement,0,-10.625
Science,-2.222,0
Secular Liberalism,3.125,-0.625
Sennacieca Asocio Tutmonda,-5.625,-9.375
Situationist International,-8.40278,-6.83333
Social Anarchism,-6.875,-7.8125
Social Conservatism,4.375,2.125
Social Darwinism,10.706,0.208333
Social Democracy,-3.26243,-0.961257
Social Ecology,-4.375,1.875
Social Gospel,-3.09375,2.28125
Socialism,-6.09936,2.91453
Socialism of the 21st Century,-3.75,1.25
Socialist Democracy,-7.5,2.5
Social Liberalism,-0.00992063,-1.2996
Social Marxism,-8,8
Soviet Democracy,0,-8.333
Stalinism,-8.01736,8.83218
State Capitalism,-0.253472,6.03704
State Monopoly Capitalism,9.375,8.125
State Socialism,-5.52778,5.83333
Statism,-3,3.78125
Status Quo,0,0
Strasserism,-5.21296,8.01852
Stratocracy,8.125,9.375
Swiss Democracy,0,-2.222
Syndicalism,-5.77083,-4.21065
Technocracy,-2.33507,5.80729
Technogaianism,-1.875,-1.875
Technoliberalism,1.825,-4.125
Technolibertarianism,3.125,-3.125
Thatcherism,7.5625,4.75
Theocracy,3.65,6.60278
Third International Theory,-5.625,1.875
Third Position,-0.729167,8.85417
Third Way,1.26667,1.12083
Three Principles of the People,1.45833,2.5
Titoism,-4.41358,5.81019
Tory Socialism,1,7
Totalitarianism,-0.8,8.44444
Tradition,2.222,0
Traditionalism,5.30556,5.75
Traditionalist Conservatism,5.34722,3.77083
Transhumanism,2.05556,-1.75
Transhumanists,2.82407,-6.5162
Tribalism,-3.75,-9.375
Tripartism,-0.625,3.125
Trotskyism,-8.4469,1.88399
Trumpism,7.70833,3.95833
Unionism,-3.6875,2.4375
Utopian Socialism,-10.625,-1.875
Voluntaryism,5.45833,-8.57292
War Communism,-8.333,5
Welfare Capitalism,-0.5,-1.61111
Welfare State,-1.667,0
Welfarism,-2.21181,-1.74306
Whiggism,6.875,-3.125
Workers’ Party of Korea,-3.4375,9.375
Xi Jinping Thought,-3.90625,7.1875
Yangism,-3.125,-0.625
Zionism,5.375,3.625
